Modulation,SNR(dB),TEB Without Codeur,TEB With Codeur
NRZ,-15.0,0.43,0.365
NRZ,-14.0,0.33,0.338
NRZ,-13.0,0.34,0.309
NRZ,-12.0,0.37,0.306
NRZ,-11.0,0.31,0.279
NRZ,-10.0,0.28,0.257
NRZ,-9.0,0.27,0.23
NRZ,-8.0,0.31,0.194
NRZ,-7.0,0.33,0.168
NRZ,-6.0,0.25,0.141
NRZ,-5.0,0.26,0.126
NRZ,-4.0,0.22,0.082
NRZ,-3.0,0.12,0.069
NRZ,-2.0,0.17,0.054
NRZ,-1.0,0.11,0.031
NRZ,0.0,0.0,0.0
NRZ,1.0,0.05,0.01
NRZ,2.0,0.04,0.004
NRZ,3.0,0.04,0.004
NRZ,4.0,0.02,0.001
NRZ,5.0,0.0,0.0
NRZ,6.0,0.0,0.0
NRZ,7.0,0.0,0.0
NRZ,8.0,0.01,0.0
NRZ,9.0,0.0,0.0
NRZ,10.0,0.0,0.0
