Modulation,SNR(dB),TEB Without Codeur,TEB With Codeur
NRZT,-10.0,0.388,0.3196
NRZT,-9.0,0.3618,0.296
NRZT,-8.0,0.3442,0.2682
NRZT,-7.0,0.3338,0.2444
NRZT,-6.0,0.3278,0.2334
NRZT,-5.0,0.303,0.196
NRZT,-4.0,0.2808,0.1698
NRZT,-3.0,0.2692,0.1368
NRZT,-2.0,0.2402,0.1096
NRZT,-1.0,0.205,0.0806
NRZT,0.0,0.0,0.0
NRZT,1.0,0.1542,0.0462
NRZT,2.0,0.1262,0.033
NRZT,3.0,0.0942,0.015
NRZT,4.0,0.0702,0.0058
NRZT,5.0,0.0488,0.004
NRZT,6.0,0.0318,0.0012
NRZT,7.0,0.0178,0.0
NRZT,8.0,0.0118,0.0
NRZT,9.0,0.004,0.0
NRZT,10.0,0.001,0.0
NRZT,11.0,4.0E-4,0.0
NRZT,12.0,0.0,0.0
NRZT,13.0,0.0,0.0
NRZT,14.0,0.0,0.0
NRZT,15.0,0.0,0.0
NRZT,16.0,0.0,0.0
NRZT,17.0,0.0,0.0
NRZT,18.0,0.0,0.0
NRZT,19.0,0.0,0.0
NRZT,20.0,0.0,0.0
