Modulation,SNR(dB),TEB
NRZT,10.0,0.0033333334
NRZT,9.0,0.01
NRZT,8.0,0.006666667
NRZT,7.0,0.023333333
NRZT,6.0,0.02
NRZT,5.0,0.04
NRZT,4.0,0.07
NRZT,3.0,0.11333334
NRZT,2.0,0.1
NRZT,1.0,0.11333334
NRZT,0.0,0.0
NRZT,-1.0,0.22333333
NRZT,-2.0,0.26333332
NRZT,-3.0,0.28
NRZT,-4.0,0.25333333
NRZT,-5.0,0.29333332
NRZT,-6.0,0.34333333
NRZT,-7.0,0.32333332
NRZT,-8.0,0.35333332
NRZT,-9.0,0.39
NRZT,-10.0,0.39666668
NRZT,-11.0,0.40666667
NRZT,-12.0,0.38
NRZT,-13.0,0.4
NRZT,-14.0,0.44
NRZT,-15.0,0.48333332
NRZT,-16.0,0.47333333
NRZT,-17.0,0.47
NRZT,-18.0,0.42333335
NRZT,-19.0,0.48666668
NRZT,-20.0,0.44333333
NRZT,-21.0,0.47333333
NRZT,-22.0,0.47666666
NRZT,-23.0,0.44666666
NRZT,-24.0,0.5133333
NRZT,-25.0,0.46666667
NRZT,-26.0,0.52666664
NRZT,-27.0,0.49
NRZT,-28.0,0.54333335
NRZT,-29.0,0.46
NRZT,-30.0,0.50333333
NRZT,-31.0,0.48333332
NRZT,-32.0,0.47333333
NRZT,-33.0,0.47666666
NRZT,-34.0,0.5733333
NRZT,-35.0,0.53
NRZT,-36.0,0.47333333
NRZT,-37.0,0.49333334
NRZT,-38.0,0.52
NRZT,-39.0,0.50666666
NRZT,-40.0,0.46666667
NRZT,-41.0,0.47333333
NRZT,-42.0,0.48333332
NRZT,-43.0,0.5
NRZT,-44.0,0.49666667
NRZT,-45.0,0.52
