Modulation,SNR(dB),TEB(Log10)
NRZT,10.0,-Infinity
NRZT,9.0,-2.1760912
NRZT,8.0,-2.1760912
NRZT,7.0,-1.4771212
NRZT,6.0,-1.2218487
NRZT,5.0,-1.3631779
NRZT,4.0,-1.0621479
NRZT,3.0,-1.0457575
NRZT,2.0,-0.7869252
NRZT,1.0,-0.9330532
NRZT,0.0,-Infinity
NRZT,-1.0,-0.60206
NRZT,-2.0,-0.6642079
NRZT,-3.0,-0.6320232
NRZT,-4.0,-0.51333344
NRZT,-5.0,-0.55284196
NRZT,-6.0,-0.5326386
NRZT,-7.0,-0.5086383
NRZT,-8.0,-0.48148605
NRZT,-9.0,-0.4164234
NRZT,-10.0,-0.43572855
NRZT,-11.0,-0.40157428
NRZT,-12.0,-0.38369957
NRZT,-13.0,-0.37675074
NRZT,-14.0,-0.40523922
NRZT,-15.0,-0.34358233
NRZT,-16.0,-0.32483292
NRZT,-17.0,-0.30685952
NRZT,-18.0,-0.3217852
NRZT,-19.0,-0.35654733
NRZT,-20.0,-0.33724216
NRZT,-21.0,-0.33410645
NRZT,-22.0,-0.36991128
NRZT,-23.0,-0.32483292
NRZT,-24.0,-0.30103
NRZT,-25.0,-0.38369957
NRZT,-26.0,-0.30685952
NRZT,-27.0,-0.32483292
NRZT,-28.0,-0.41266328
NRZT,-29.0,-0.2981443
NRZT,-30.0,-0.30103
NRZT,-31.0,-0.29527768
NRZT,-32.0,-0.26760623
NRZT,-33.0,-0.2981443
NRZT,-34.0,-0.3217852
NRZT,-35.0,-0.28122163
NRZT,-36.0,-0.27029535
NRZT,-37.0,-0.3217852
NRZT,-38.0,-0.2784642
NRZT,-39.0,-0.3309932
NRZT,-40.0,-0.32483292
NRZT,-41.0,-0.3098039
NRZT,-42.0,-0.27572414
NRZT,-43.0,-0.27300125
NRZT,-44.0,-0.3187588
NRZT,-45.0,-0.31575325
