Modulation,SNR(dB),TEB
NRZ,10.0,0.0
NRZ,9.0,0.0
NRZ,8.0,0.0
NRZ,7.0,0.0033333334
NRZ,6.0,0.0
NRZ,5.0,0.006666667
NRZ,4.0,0.0033333334
NRZ,3.0,0.016666668
NRZ,2.0,0.04
NRZ,1.0,0.06
NRZ,0.0,0.0
NRZ,-1.0,0.1
NRZ,-2.0,0.123333335
NRZ,-3.0,0.16666667
NRZ,-4.0,0.14666666
NRZ,-5.0,0.19666667
NRZ,-6.0,0.25
NRZ,-7.0,0.31
NRZ,-8.0,0.26333332
NRZ,-9.0,0.30333334
NRZ,-10.0,0.3
NRZ,-11.0,0.34666666
NRZ,-12.0,0.35333332
NRZ,-13.0,0.43666667
NRZ,-14.0,0.37333333
NRZ,-15.0,0.39
NRZ,-16.0,0.4
NRZ,-17.0,0.43
NRZ,-18.0,0.39666668
NRZ,-19.0,0.41333333
NRZ,-20.0,0.43
NRZ,-21.0,0.48666668
NRZ,-22.0,0.48333332
NRZ,-23.0,0.46333334
NRZ,-24.0,0.47666666
NRZ,-25.0,0.47666666
NRZ,-26.0,0.44
NRZ,-27.0,0.43666667
NRZ,-28.0,0.45666668
NRZ,-29.0,0.43666667
NRZ,-30.0,0.49333334
NRZ,-31.0,0.5133333
NRZ,-32.0,0.51666665
NRZ,-33.0,0.46333334
NRZ,-34.0,0.49666667
NRZ,-35.0,0.53333336
NRZ,-36.0,0.48666668
NRZ,-37.0,0.53
NRZ,-38.0,0.45666668
NRZ,-39.0,0.46333334
NRZ,-40.0,0.47666666
NRZ,-41.0,0.46333334
NRZ,-42.0,0.54333335
NRZ,-43.0,0.51666665
NRZ,-44.0,0.50666666
NRZ,-45.0,0.49666667
