Modulation,SNR(dB),TEB(Log10)
NRZ,10.0,-Infinity
NRZ,9.0,-Infinity
NRZ,8.0,-Infinity
NRZ,7.0,-Infinity
NRZ,6.0,-Infinity
NRZ,5.0,-2.1760912
NRZ,4.0,-1.6320232
NRZ,3.0,-1.7781513
NRZ,2.0,-1.4357285
NRZ,1.0,-1.39794
NRZ,0.0,-Infinity
NRZ,-1.0,-0.98575956
NRZ,-2.0,-0.8143634
NRZ,-3.0,-0.73675853
NRZ,-4.0,-0.7289332
NRZ,-5.0,-0.7289332
NRZ,-6.0,-0.5180799
NRZ,-7.0,-0.5633074
NRZ,-8.0,-0.5850267
NRZ,-9.0,-0.6137984
NRZ,-10.0,-0.51333344
NRZ,-11.0,-0.4685211
NRZ,-12.0,-0.43179828
NRZ,-13.0,-0.3467875
NRZ,-14.0,-0.4477375
NRZ,-15.0,-0.34358233
NRZ,-16.0,-0.37675074
NRZ,-17.0,-0.3127684
NRZ,-18.0,-0.33724216
NRZ,-19.0,-0.38721615
NRZ,-20.0,-0.38021126
NRZ,-21.0,-0.32483292
NRZ,-22.0,-0.3733175
NRZ,-23.0,-0.31575325
NRZ,-24.0,-0.303935
NRZ,-25.0,-0.3098039
NRZ,-26.0,-0.34040067
NRZ,-27.0,-0.28960055
NRZ,-28.0,-0.30103
NRZ,-29.0,-0.32483292
NRZ,-30.0,-0.3733175
NRZ,-31.0,-0.32483292
NRZ,-32.0,-0.36653155
NRZ,-33.0,-0.32483292
NRZ,-34.0,-0.28960055
NRZ,-35.0,-0.28960055
NRZ,-36.0,-0.2784642
NRZ,-37.0,-0.29242983
NRZ,-38.0,-0.28678957
NRZ,-39.0,-0.25701317
NRZ,-40.0,-0.34358233
NRZ,-41.0,-0.3467875
NRZ,-42.0,-0.24923456
NRZ,-43.0,-0.32483292
NRZ,-44.0,-0.30103
NRZ,-45.0,-0.28678957
