Modulation,SNR(dB),TEB
RZ,10.0,0.0
RZ,9.0,0.0
RZ,8.0,0.006666667
RZ,7.0,0.013333334
RZ,6.0,0.033333335
RZ,5.0,0.033333335
RZ,4.0,0.083333336
RZ,3.0,0.07666667
RZ,2.0,0.12
RZ,1.0,0.083333336
RZ,0.0,0.0
RZ,-1.0,0.19333333
RZ,-2.0,0.26
RZ,-3.0,0.26
RZ,-4.0,0.28
RZ,-5.0,0.27666667
RZ,-6.0,0.31333333
RZ,-7.0,0.35333332
RZ,-8.0,0.33666667
RZ,-9.0,0.38333333
RZ,-10.0,0.40666667
RZ,-11.0,0.42666668
RZ,-12.0,0.37666667
RZ,-13.0,0.45
RZ,-14.0,0.40666667
RZ,-15.0,0.42
RZ,-16.0,0.39666668
RZ,-17.0,0.43
RZ,-18.0,0.44666666
RZ,-19.0,0.46333334
RZ,-20.0,0.50333333
RZ,-21.0,0.47666666
RZ,-22.0,0.46333334
RZ,-23.0,0.46
RZ,-24.0,0.46666667
RZ,-25.0,0.42666668
RZ,-26.0,0.44666666
RZ,-27.0,0.44666666
RZ,-28.0,0.49666667
RZ,-29.0,0.46666667
RZ,-30.0,0.46666667
RZ,-31.0,0.49333334
RZ,-32.0,0.53
RZ,-33.0,0.44666666
RZ,-34.0,0.44666666
RZ,-35.0,0.46333334
RZ,-36.0,0.44666666
RZ,-37.0,0.49333334
RZ,-38.0,0.50666666
RZ,-39.0,0.55333334
RZ,-40.0,0.50333333
RZ,-41.0,0.54333335
RZ,-42.0,0.52
RZ,-43.0,0.5133333
RZ,-44.0,0.5
RZ,-45.0,0.48666668
