Modulation,SNR(dB),TEB(Log10)
RZ,10.0,-Infinity
RZ,9.0,-Infinity
RZ,8.0,-2.1760912
RZ,7.0,-1.6320232
RZ,6.0,-1.6320232
RZ,5.0,-1.4771212
RZ,4.0,-1.2466723
RZ,3.0,-1.1346986
RZ,2.0,-0.8973377
RZ,1.0,-0.9719713
RZ,0.0,-Infinity
RZ,-1.0,-0.7447275
RZ,-2.0,-0.65104645
RZ,-3.0,-0.5963077
RZ,-4.0,-0.55284196
RZ,-5.0,-0.6446123
RZ,-6.0,-0.42790323
RZ,-7.0,-0.5326386
RZ,-8.0,-0.4477375
RZ,-9.0,-0.40157428
RZ,-10.0,-0.39076144
RZ,-11.0,-0.42404282
RZ,-12.0,-0.36653155
RZ,-13.0,-0.38021126
RZ,-14.0,-0.31575325
RZ,-15.0,-0.3943359
RZ,-16.0,-0.3631779
RZ,-17.0,-0.3532696
RZ,-18.0,-0.35001647
RZ,-19.0,-0.35984996
RZ,-20.0,-0.33410645
RZ,-21.0,-0.31575325
RZ,-22.0,-0.33410645
RZ,-23.0,-0.3733175
RZ,-24.0,-0.3187588
RZ,-25.0,-0.36653155
RZ,-26.0,-0.28960055
RZ,-27.0,-0.3532696
RZ,-28.0,-0.29242983
RZ,-29.0,-0.3309932
RZ,-30.0,-0.3217852
RZ,-31.0,-0.28960055
RZ,-32.0,-0.28678957
RZ,-33.0,-0.29242983
RZ,-34.0,-0.30103
RZ,-35.0,-0.24923456
RZ,-36.0,-0.28399667
RZ,-37.0,-0.27300125
RZ,-38.0,-0.3127684
RZ,-39.0,-0.30103
RZ,-40.0,-0.3187588
RZ,-41.0,-0.32790214
RZ,-42.0,-0.33724216
RZ,-43.0,-0.3098039
RZ,-44.0,-0.2981443
RZ,-45.0,-0.303935
