Modulation,NbEch,TEB
NRZ,5,0.121
NRZ,10,0.128
NRZ,15,0.062
NRZ,20,0.132
NRZ,25,0.13
NRZ,30,0.064
NRZ,35,0.095
NRZ,40,0.063
NRZ,45,0.092
NRZ,50,0.121
NRZ,55,0.083
NRZ,60,0.068
NRZ,65,0.073
NRZ,70,0.066
NRZ,75,0.071
NRZ,80,0.076
NRZ,85,0.094
NRZ,90,0.099
NRZ,95,0.106
NRZ,100,0.123
NRZ,105,0.103
NRZ,110,0.075
NRZ,115,0.065
NRZ,120,0.051
NRZ,125,0.042
NRZ,130,0.036
NRZ,135,0.036
NRZ,140,0.03
NRZ,145,0.016
NRZ,150,0.022
NRZ,155,0.021
NRZ,160,0.017
NRZ,165,0.008
NRZ,170,0.014
NRZ,175,0.001
NRZ,180,0.009
NRZ,185,0.011
NRZ,190,0.007
NRZ,195,0.014
NRZ,200,0.007
NRZ,205,0.009
NRZ,210,0.005
NRZ,215,0.004
NRZ,220,0.004
NRZ,225,0.004
NRZ,230,0.003
NRZ,235,0.004
NRZ,240,0.001
NRZ,245,0.006
NRZ,250,0.004
