Modulation,NbEch,TEB
NRZT,5,0.152
NRZT,10,0.127
NRZT,15,0.099
NRZT,20,0.135
NRZT,25,0.117
NRZT,30,0.094
NRZT,35,0.149
NRZT,40,0.101
NRZT,45,0.114
NRZT,50,0.113
NRZT,55,0.12
NRZT,60,0.086
NRZT,65,0.086
NRZT,70,0.087
NRZT,75,0.091
NRZT,80,0.102
NRZT,85,0.104
NRZT,90,0.125
NRZT,95,0.127
NRZT,100,0.119
NRZT,105,0.112
NRZT,110,0.114
NRZT,115,0.109
NRZT,120,0.109
NRZT,125,0.093
NRZT,130,0.099
NRZT,135,0.092
NRZT,140,0.088
NRZT,145,0.078
NRZT,150,0.072
NRZT,155,0.066
NRZT,160,0.067
NRZT,165,0.049
NRZT,170,0.046
NRZT,175,0.035
NRZT,180,0.045
NRZT,185,0.039
NRZT,190,0.029
NRZT,195,0.033
NRZT,200,0.029
NRZT,205,0.035
NRZT,210,0.032
NRZT,215,0.027
NRZT,220,0.025
NRZT,225,0.026
NRZT,230,0.027
NRZT,235,0.016
NRZT,240,0.017
NRZT,245,0.023
NRZT,250,0.024
